0DEBLIQC XXXXXXXXXX900000    2017040208040                                                         *
11234123412341234   00000001201704020005000000000014700ABOGADO1       E                            *
11234123412341234   00000002201704020005000000000062500ABOGADO1       E                            *
11234123412341234   00000003201704020005000000000062500ABOGADO1       E                            *
11234123412341234   00000004201704020005000000000100000ABOGADO1       E                            *
17899789978997899   00000005201704020005000000000062500ABOGADO2       E                            *
17899789978997899   00000006201704020005000000000062500ABOGADO2       E                            *
11477258836995466   00000007201704020005000000000062500ABOGADO424     E                            *
11477258836995466   00000008201704020005000000000062500ABOGADO424     E                            *
11477258836995466   00000009201704020005000000001487400ABOGADO424     E                            *
11254125412541254   00000010201704020005000000000062500ABOGADO426     E                            *
11254125412541254   00000011201704020005000000000062500ABOGADO426     E                            *
9DEBLIQC XXXXXXXXXX900000    2017040208040000011000000002102100                                    *
